ID,Requirement,Usage Patterns,Categories,In/Out Scope,Implementation Notes,How new spec handles this
R-001,Deposit must support arbitrary file formats,"UP-001, UP-018",Protocol,In,"The protocol can continue to be file agnostic, though note that in the current version of the spec repositories may specify what formats or format ranges they support.  Should this indication be scaled back?  It's possible that for the most part application/zip is the most commonly delivered format, which hides whatever formats are actually inside the zip, making any other mime-type declarations at the repository level meaningless.","use of sword:accept allows the repository to define limits, and by default there are no limits on supported file formats.
"
R-002,Deposit must support arbitrarily large files,"UP-001, UP-027",Protocol,In,This is more a statement about having mechanisms in the protocol to work around limitations in implementations and intermediate specs (e.g. HTTP).,"Use of sword:maxUploadSize allows the repository to define limits, and by default there are no limits.  See also R-043, R-044, R-054"
R-003,Metadata/Content + Metadata deposits should support one or more metadata formats/profiles,UP-002,"Protocol, Content Aware",In/Out,"Right now, meatata deposits can take anything that can be embedded as XML in the atom entry, but there is no clean way of identifying the schema or profile of the content.  Content deposit allows a Packaging header which allows identification of the package format.  An equivalent mechanism for metadata is what's needed","Metadata deposit can now use the MetadataFormat header to indicate content format, combining it with Content-Type gives the server enough information to choose how to ingest.  Content + Metadata deposits at the same time can now only be done as a package, and the Packaging header serves the same purpose here."
R-004,Metadata/Content + Metadata deposits should enable unambiguous identification of metadata formats/profiles contained therein,UP-002,"Protocol, Content Aware",In/Out,See comment for R-003,See R-003
R-005,Identifiers should exist for common metadata formats/profiles as per R-004,UP-002,Content Aware,Out,"As an adjunct to SWORD, there should be an effort focussed around registering, describing and identifying formats/profiles.  This would have applicability outside just deposit processes.  Note that most formats or profiles probably do already have identifiers we could use.  Should there be a sword-maintained registry of them to help implementers?  Would we be able to generate a community of implementers allowing express support of such formats?",Not covered by the spec
R-006,Content/Content + Metadata deposits should enable unambigious identification of content format/profiles contained therein,UP-002,"Protocol, Content Aware",In/Out,See comment for R-003,See R-003
R-007,Identifiers should exist for common content formats/profiles as per R-006,UP-002,Content Aware,Out,See comment for R-003,Not covered by the spec
R-008,Authentication for any action must not require human intervention on any individual request,"UP-003, UP-010",Protocol,In,"This probably excludes anything like OAuth.  The current http basic works fine in this sense, but is not the most up-to-date or best practice security.  Other suggestions include some form of Public Key Infrastructure, but that might be an implementation detail.  We may need to just limit ourselves to saying that it must be possible to authenticate and identify a depositing user. Maybe the spec needs to give the repo a way to announce which auth schemes it supports","Authentication is now only lightly touched on by the protocol, encouraging users to choose their own approaches.  The spec has a sword:authentication field (which still needs work) to allow users to discover the authtentication schemes supported by the server"
R-009,Protocol operations must be possible over a secure connection,UP-003,Protocol,In,"Check that the spec does not preclude this, and indeed encourages it.  Nontheless, ultimately probably an implementation detail",Spec recommends TLS
R-010,"Authentication processes must be as strong as possible, in the context of other requirements",UP-003,Protocol,In,See comment for R-008,See R-008
R-011,Deposit of metadata records only must be possible (i.e. no file content associated),UP-004,Protocol,In,"Straightforward, currently supported",POST a metadata record to the Collection URI
R-012,Metadata and content must be depositable at the same time,UP-005,"Protocol, Content Aware",In/Out,"Right now we use Atom Multipart for this, which has failed in implementations, so it should be removed from the spec.  The only other way to support this is for us to define a package format which takes a metadata file, and for that metadata to be equivalent to what you could put in the atom entry document if you weren't sending the content.  Recommend something basic and well understood, like a BagIt profile.",This is now only possible if the metadata is in the package.  A standardised package format is provided using BagIt for lowest-common-denominator interchange.
R-013,"Content may be of a complex type, consisting of multiple files, file relationships and metadata",UP-005,"Protocol, Content Aware",In,Support for packaged content.  Support for individual file uploads.  File relationships and more complex structures may not be supportable outside of a package that the repository knows how to interpret.,Support for packaged content pushes this to a content-level issue.  Spec supports a Packaging header as before to allow client/server agreement on the format of such a message.
R-014,"It must be possible to add content to an already deposited item at a later date.  As per R-013, content may be complex",UP-006,Protocol,In,"SWORD has a mechanism for this using the Atom semantics.  It's difficult for the client to know if this operation will succeed, as the repository can change access to the item over time.  One complaint levelled at sword is the complexity of doing stuff like this, with all the various URLs for different purposes.  We should  consider departing from Atom and developing a more minimal spec, which is more fit for purpose.  We have not seen any particular benefit in the tool-chain from adopting Atom.","PUT a package to the Content URI (replaces all), POST a file to the Content URI (adds individual file), POST a package to the Object URI (adds multiple files + any metadata) "
R-015,"Servers should expose information about whether an item is editable (e.g. for R-014), or the conditions under which an item will cease to be editable",UP-006,Protocol,In,Related to R-014,"It's very difficult to describe in a machine-readable way the conditions under which an item would cease to be editable, and it's unlikely that clients will be complex enough to make use of such information.  

The spec now allows the status report for the object to identify which of the protocol operations are currently allowed against it."
R-016,"Deposit should be possible in a single operation, with no requirement by the client to receive the response or follow it up later",UP-007,Protocol,In,"What about error handling?  Client probably at least needs to get a response code.  I don't think that's contentions, SWORDv1 did that","Clients can deposit a package or metadata, receive their acknowledgement or error, and leave it at that"
