ID,Title,Description,Sources,Categories,In/Out Scope,,Key Features,Notes,How new spec handles this
UP-001,Research data deposit,"Researchers should be able to easily deposit data for publication, discovery, safe storage, long-term archiving and preservation","SOR - Background
FDS - Use Case 1
SC - Interoperability for Repository Data Submission",Protocol,In,,"* A variety of file formats
* Potentially large files
* Relationships to other objects (e.g. publications)","This is a relatively generic pattern, and most of the actual requirements will drop out of more specific patterns below",Enhancements around deposit of large content is primary enhancement for research data support.
UP-002,Transmission of data meeting metadata standards,"The protocol should support the transfer of well-understood data formats and profiles such as PCDM, METS, RIOXX, etc.",SOR - Aim,"Protocol
Content Aware",In/Out,,* Metadata content-awareness,"This pattern implies an understanding in SWORD itself as to the nature of the content being transmitted.  This is a recurring theme throughout the patterns.

SWORD does have a mechanism for identifiying via a URL the package type, but it does not have an equivalent semantic for identifying the profile or scheme of the metadata in the entry document.

Consider how to identify metadata profiles using a URI.  This should be straightforward for things like RIOXX, which is a documented profile.  Ad hoc profiles could be given URIs by the systems using them, in the same was as they can do now with package identifiers.

We should also consider creation of a registry of such identifiers and the documentation for what they represent.","Metadata deposits can now use the MetadataFormat header to indicate content format, combining it with Content-Type gives the server enough information to choose how to ingest."
UP-003,Deposit across organisational boundaries,"Protocol should support the transfer of content over organisational boundaries, and thus all of the associated trust/authority processes involved","FDS - Use Case 1
FDS - Use Case 4","Protocol
",In,,* Authentication and Authorisation,"Deposit may not always be within trusted networks, and deposit endpoints may be available on the open web.  Thus we need to check that authentication and authorisation approaches are suitable.

Review auth approaches, consider formal support for token-based auth, for example, or Public Key Infrastructure.  Also review state of HTTPS recommendations in the protocol.","Authentication is now only lightly touched on by the protocol, encouraging users to choose their own approaches.  The spec has a sword:authentication field (which still needs work) to allow users to discover the supported authtentication schemes by the server.

We also explicitly recomment TLS."
UP-004,Metadata-only deposit,"Deposit only metadata content, and no associated files",FDS - Use Case 1,Protocol,In,,* Metadata-only deposit,SWORD is already well built for metadata-only deposit.  See UP-002 for further possible enhancements.,POST a metadata record to the Collection URI
UP-005,Metadata + content deposit,"Deposit of both metadata and content at the same time.  Content may be complex, including primary and supporting materials, and multiple files.","FDS - Use Case 1
FDS - Use Case 2
FDS - Use Case 3",Protocol,In,,* Metadata + content deposit,"The current mechanism in SWORD for metadata + content deposit is split into two approaches.  One where metadata and content are in a package together, and one where they are in separate parts of the deposit.  The latter has not worked well, and we will need to revisit this.","This is now only possible if the metadata is in the package.  Packaged content may be as complex as is desired, provided that there is support within the repository.

A standardised package format will be developed using BagIt which will provide a lower-common-denominator format for interchange."
UP-006,Addition of content,"Deposit content onto an existing item at a later date.  Content may be complex, including primary and supporting materials, and multiple files","FDS - Use Case 1
FDS - Use Case 2",Protocol,In,,"* Add inidividual files to object
* Add additional packaged content to object
* Authorisation
* Workflow",The content operations are already supported in SWORD.  The complicating part is that depending on the (workflow) state of an item in the repository you may or may not be authorised to add the content.  It's not necessarily obvious to the client when that state has been reached,"PUT a package to the Content URI (replaces all), POST a file to the Content URI (adds individual file), POST a package to the Object URI (adds multiple files + any metadata) 

It's very difficult to describe in a machine-readable way the conditions under which an item would cease to be editable, and it's unlikely that clients will be complex enough to make use of such information.  Instead the spec now allows the status report for the object to identify which of the protocol operations are currently allowed against the object."
UP-007,Fire-and-forget deposit,Deposit content without any intention of later reviewing that content or changing it in any way,FDS - Use Case 1,Protocol,In,,* Fire-and-forget,"This has always been a key feature of sword, and the behaviour in total of SWORDv1.  We should be sure to keep this capability.","Clients can deposit a package or metadata, receive their acknowledgement or error, and leave it at that"
UP-008,Set and modify embargo,"Deposit content/metadata with one embargo, and update the item later with a new embargo",FDS - Use Case 1,"Protocol
Content Aware
Process Aware",Out,,"* Embargo
* Access restrictions","SWORD would currently consider this a content-related issue rather than a matter for the protocol, in that this information could be transmitted via the package/metadata.  Nonetheless, there is an argument that could be made about applying these restrictions via the protocol, to give certainty and a definitive approach for clients requiring it.

We should consider this as a special case of access restrictions",Not explicitly supported
UP-009,Retrieve item information,"Be able to retrieve information about an item, which may include details about its state and current restrictions","FDS - Use Case 1
FDS - Use Case 3","Protocol
Process Aware
Content Aware",In/Out,,"* Retrieve
* Item description","SWORD currently offers a couple of ways of retrieving the item information.  There is not much flexibility in what information is returned, except that arbitrary metadata can be included.  We could begin to offer support for more detailed or prescriptive item descriptions, if required.

If we are becoming more content aware, then there's an opportunity here to include more content awareness in the Statement (or its successor in the new version of the spec).  We should review what information could now be appropriate to include in the response.

Also, we may wish to consider simplifying the Statement to a single format, and making it part of or an extension to the Entry document, and revisit our reasons for separating these documents in the first place.","We have defined 4 key ingest progress states that repositories should use, and left it open for them to use their own states, and to allow an item to be in multiple states

There is also a lot more information that can now be included alongside files inside an item, allowing for a potentially rich view of an item if the repository chooses to support it."
UP-010,Automated machine-to-machine deposit,Autonomous systems should be able to communicate with eachother as needed via the protocol,"FDS - Use Case 1
FDS - Use Case 4
FDS - Use Case 7",Protocol,In,,"* Authentication and Authorisation
* Everything machine readable","Deposit may not always have a human in the loop, so authentication and authorisation must be seamless and not require human intervention at any point.

See also UP-003","We have not made any specific recommendations about authentication protocols, so implementers may use one which requires no human intervention, such as PKI, or a token based authentication scheme.

Elements such as collectionPolicy and treatment now come with URIs.  All other fields which have a human-readable component already have URI counterparts.  All metadata is namespaced and use of JSON-LD makes it suitable for linked data representations."
UP-011,Inclusion of collection-relevant metadata,Include metadata which allows deposited items to be identified as part of a particular type of collection (e.g. the ISSN and issue number for a journal),"FDS - Use Case 1
DDS - Use Case Components","Protocol
Content Aware",Out,,"* Metadata
* Collections","We need to be careful to distinguish between the different types of collection metadata.  One type identifies the item as part of an abstract collection, such as the ISSN indicating membership of a journal.  The other refers to the actual deposit collection in the repository.  The former can be supported just through the application of suitable metadata, about which sword does not care, and the latter is a property of the repository, and is probably something sword can't be allowed to touch.  There is another possibility that deposit of a collection itself should be possible.  This would be a normal deposit operation, but the result is that a new collection could appear in the service document.  Is this desired?  Could be useful for research data, but comes with plenty of complexities.

Investigate the need for depositing entire collections as any other item.  Keep the content aware portion of this out of scope.","Not explicitly supported.  Metadata may contain information regarding, for example, ISSNs, and this is an issue for the repository not the protocol.  Adding metadata to a collection (as sword defines it) is not supported."
UP-012,Man-in-the-middle broker,"Deposits should be possible via a brokerage service or other itermediate, which stands between the depositor and the target archive(s)","FDS - Use Case 1
FDS - Use Case 4","Protocol
Process Aware",In,,"* Temporary hosting of content
* Proxying/Forwarding
* Authentication and Authorisation","The man-in-the-middle may or may not actually host the data for a while, and it may or may not provide a proxy url for the client for some time.  The key thing will be to be sure we have a way of handling temporary content - that which disappears from the deposit url after some time.  There's also an authorisation and authentication question, which is likely the same as UP-001 in that this is about content moving between organisations.

Consider semantics for content which eventually disappears","There is a sword:status which can be used to annotate a record which is a tombstone

Addition of sword:forwarding element allows the repository to respond with either/both of an onward object-url for sword operations or useful links to the item created in the forwarded location

Appropriate 30x header codes are now explicit in the spec

Information on when or under what conditions content may disappear is not included in the spec, as the information would be difficult to represent.  Instead we recommend the use of the sword:treatment element to allow the repository to describe in human-readable form these conditions."
UP-013,Real-time file-storage,The protocol should offer the facilities to enable the repository to behave like a real-time file store for user-facing systems,FDS - Use Case 2,Protocol,In,,"* Individual file deposit
* Create and Update (CRUD operations)
* Authentication and Authorisation","SWORD is well set up for CRUD operations and individual file deposits.  The only issues will be around how the client system acting on behalf of the user is authenticated to distribute the content.  Some trust element may be required, or users may be required to authenticate or in some way authorise actions on their behalf with the repository.  In most existing deposit systems, this issue is resolved through a trust relationship that the front-end system is authenticating users appropriately.","Indicated that the server has a responsibility to provide this.

sword:links elements are expressive enough to identify individual files in the item, and whether they can be used for update/retrieval via the sword:crud element."
UP-014,Real-time file-retrieval,The protocol should offer the facilities to enable the repository to serve files on demand in real-time to user-facing systems,FDS - Use Case 2,Protocol,In,,"* Individual file retrieval
* Authentication and Authorisation",The same commens as UP-013 apply,"GET on File URI

See also UP-013"
UP-015,Delete individual files,Be able to identify and delete an individual file from the repository item,FDS - Use Case 2,Protocol,In,,* Individual file removal,The same commens as UP-013 apply,"DELETE on File URI

See also UP-013"
UP-016,Replace individual files,Be able to replace an individual file with a new version in the repository item,FDS - Use Case 2,Protocol,In,,* Update (CRUD operation),"There's a question about versioning, and that's probably up to the particular repository implementing the sword endpoint.  Is there a need for sword to provide semantics for retrieving previous versions, if they exist?

Question whether we need to do anything about formal protocol support for versioning, and propose some semantics for review","PUT on File URI

We have also include some basic semantics for servers to represent versioning information if desired, using dcterms:isVersionOf and a timestamp"
UP-017,Bulk synchronise data stores,"Be able to synchronise a number of items from some content-capture system (or, indeed any other system such as another repository) to the repository","FDS - Use Case 2
FDS - Use Case 8",Protocol,In,,* Bulk deposits/updates,"There are a couple of ways to look at this:

1. The responsibility for bulk deposits is in the client system, which can just issue multiple sword deposit requests for individual items

2. SWORD provides a mechanism to deposit a collection of objects, either as a new collection, or into an existing one, all in a single operation

3. This is a requirement for using ResourceSync, and the target repository should /pull/ the content it requires

The likelihood is that the best answer is (1) or (3), with a preference for (3) on the grounds that errors are easier to handle that way around.  At this point we can either leave this pattern alone, to be solved by ResourceSync as-is, or look to at least harmonise the semantics between those specifications so that there is common ground.  For example, have the source repository provide packages and/or metadata marked up in line with the sword specification, for retrieval via ResourceSync.","SWORD will not provide a ""bulk"" mechanism, leaving this to the client to carry out repeat requests, or some other process such as ResourceSync.

Note that we have reviewed the ResourceSync semantics, and not found it feasible to formally re-use any aspects of it in the new version of SWORD.  Their use cases are complementary, but there is not a large cross-over in semantics."
UP-018,Deposit arbitrary content types,Protocol should allow any content type to be deposited,FDS - Use Case 3,Protocol,In,,* Content agnostic,"SWORD is currently content agnostic, and in the event that we add any content-awareness to the protocol, it must simplify/fall back to being content agnostic again.","use of sword:accepts allows the repository to define limits on file formats, and by default there are no limits."
UP-019,Create objects with minimal metadata,It should be possible to create items via the protocol with a minimum amount of metadata,FDS - Use Case 3,Protocol,In,,"* Metadata
* Minimum requirements","As per UP-018, we must avoid placing unnecessary constraints on what can be delivered.  It must be possible within the protocol to deliver minimal metadata.  Though note that individual implementations may choose to apply validation/minimum requirements.  If these requirements vary across repositories, it will remain a barrier to true interoperability.",No explicit support required
UP-020,Monitor workflow progress,"Be able to track the state of an item as it is in the repository - whether it is in a workflow, in the archive, or if other actions have happened to it",FDS - Use Case 3,"Protocol
Process Aware",In,,"* Workflow
* Item description","SWORD already provides semantics for doing this, though the expression of the workflow progress is down to the repository to choose.  There's probably some value in prescribing some particular semantics to allow common understanding across implementations.  At the same time, allow repositories to be free to express themselves regarding more specific workflow information.","We have defined 4 key ingest progress states that repositories should use, and left it open for them to use their own states, and to allow an item to be in multiple states"
UP-021,Deposit of unfinished content,Content that is not yet complete or ready to be archived should be depositable,FDS - Use Case 3,Protocol,In,,* In Progress items,"SWORD provides a couple of mechanisms for handling incomplete items:

1. Use of an ""In-Progress"" header/flag tells the repository to expect updates later

2. The repository as at liberty to allow updates to an item for any period of time after the deposit completes that it desires, independently of the In-Progress header","Spec allows the use of the In-Progress header.

The sword:actions element of the status document tells the client which operations are still available to them, even if they did not pass In-Progress.

Send an empty In-Progress: false request, or add In-Progress:false to any operation on the object url to finish the unfinished content."
UP-022,External subission system,Content capture and management is done in a remote/specialised  environment and content only sent to the repository at the appropriate point(s),FDS - Use Case 5,"Protocol
Process Aware",In,,"* Authorisation and Authentication
* Workflow
* Item description","An external submission system working over SWORD essentially means that the core requirements of any submisison system need to be supported by the protocol.  That is, creating, editing and deleting the item, submitting it, passing through review workflow, and ultimately publishing it.","Use the In-Progress header to carry out updates prior to final submission.

Send an empty In-Progress: false request, or add In-Progress:false to any operation on the object url to finish the unfinished content

Submission system can use the sword:state element to determine the workflow state of an item, and look for the ""archived"" status for when it has completed the workflow."
